id,representation_2024,representation_2026,minimum_representation,classification
7332,0,0.6875,0,Excluded from both; 2026 only
7333,0,0.95,0,Retained in 2026 only
7334,0,0.9625,0,Retained in 2026 only
7339,0,0.95,0,Retained in 2026 only
7341,0,0.9625,0,Retained in 2026 only
7342,0,0.9375,0,Retained in 2026 only
7344,0,1,0,Retained in 2026 only
7346,0,0.9875,0,Retained in 2026 only
7348,0,0.95,0,Retained in 2026 only
7350,0,1,0,Retained in 2026 only
7351,0,0.95,0,Retained in 2026 only
7352,0,0.925,0,Retained in 2026 only
7354,0,1,0,Retained in 2026 only
7359,0,0.8875,0,Retained in 2026 only
7360,0,0.95,0,Retained in 2026 only
7361,0,1,0,Retained in 2026 only
7362,0,0.175,0,Excluded from both; 2026 only
7363,0,0.9375,0,Retained in 2026 only
7366,0,1,0,Retained in 2026 only
7367,0,0.925,0,Retained in 2026 only
7368,0,1,0,Retained in 2026 only
7370,0,0.9375,0,Retained in 2026 only
7371,0,0.9,0,Retained in 2026 only
7372,0,1,0,Retained in 2026 only
7373,0,0.925,0,Retained in 2026 only
7374,0,1,0,Retained in 2026 only
7375,0,0.875,0,Retained in 2026 only
7376,0,1,0,Retained in 2026 only
7377,0,0.4125,0,Excluded from both; 2026 only
7378,0,0.9125,0,Retained in 2026 only
7379,0,1,0,Retained in 2026 only
7380,0,1,0,Retained in 2026 only
7381,0,0.9375,0,Retained in 2026 only
7383,0,1,0,Retained in 2026 only
7384,0,1,0,Retained in 2026 only
7385,0,0.9875,0,Retained in 2026 only
7386,0,0.9875,0,Retained in 2026 only
7387,0,1,0,Retained in 2026 only
7388,0,0.95,0,Retained in 2026 only
7390,0,0.9375,0,Retained in 2026 only
7392,0,0.975,0,Retained in 2026 only
7393,0,1,0,Retained in 2026 only
7395,0,1,0,Retained in 2026 only
7396,0,0.9875,0,Retained in 2026 only
7397,0,0.9,0,Retained in 2026 only
7398,0,1,0,Retained in 2026 only
7399,0,1,0,Retained in 2026 only
7400,0,0.9,0,Retained in 2026 only
7401,0,0.925,0,Retained in 2026 only
7402,0,1,0,Retained in 2026 only
7403,0,0.9875,0,Retained in 2026 only
7404,0,1,0,Retained in 2026 only
7405,0,0.9875,0,Retained in 2026 only
7406,0,0.95,0,Retained in 2026 only
7408,0,1,0,Retained in 2026 only
7409,0,1,0,Retained in 2026 only
7411,0,0.05,0,Excluded from both; 2026 only
7412,0,1,0,Retained in 2026 only
7413,0,1,0,Retained in 2026 only
7414,0,0.9375,0,Retained in 2026 only
7415,0,0.975,0,Retained in 2026 only
7416,0,0.9375,0,Retained in 2026 only
7418,0,0.9,0,Retained in 2026 only
7419,0,1,0,Retained in 2026 only
7420,0,1,0,Retained in 2026 only
7421,0,1,0,Retained in 2026 only
7422,0,0.9375,0,Retained in 2026 only
7423,0,0.9375,0,Retained in 2026 only
7425,0,0.9,0,Retained in 2026 only
7428,0,0.9875,0,Retained in 2026 only
7429,0,0.9875,0,Retained in 2026 only
7430,0,1,0,Retained in 2026 only
7431,0,1,0,Retained in 2026 only
7432,0,0.9875,0,Retained in 2026 only
7433,0,0.95,0,Retained in 2026 only
7434,0,0.9875,0,Retained in 2026 only
7435,0,1,0,Retained in 2026 only
7436,0,0.8875,0,Retained in 2026 only
7437,0,1,0,Retained in 2026 only
7439,0,1,0,Retained in 2026 only
7440,0,1,0,Retained in 2026 only
7441,0,0.8875,0,Retained in 2026 only
